VocabularyEN,ExampleSentences,ExampleSentencesCH,Synonym,SynonymCH
academy,academy例句测试1,academy例句测试翻译1,academy同义词测试1,academy同义词测试翻译1
academy,academy例句测试2,academy例句测试翻译2,academy同义词测试2,academy同义词测试翻译2
accede,accede例句测试1,accede例句测试翻译1,accede同义词测试1,accede同义词测试翻译1
accede,accede例句测试2,accede例句测试翻译2,accede同义词测试2,accede同义词测试翻译2
accelerate,accelerate例句测试1,accelerate例句测试翻译1,accelerate同义词测试1,accelerate同义词测试翻译1
accelerate,accelerate例句测试2,accelerate例句测试翻译2,accelerate同义词测试2,accelerate同义词测试翻译2
accent,accent例句测试1,accent例句测试翻译1,accent同义词测试1,accent同义词测试翻译1
accent,accent例句测试2,accent例句测试翻译2,accent同义词测试2,accent同义词测试翻译2
accentuate,accentuate例句测试1,accentuate例句测试翻译1,accentuate同义词测试1,accentuate同义词测试翻译1
accentuate,accentuate例句测试2,accentuate例句测试翻译2,accentuate同义词测试2,accentuate同义词测试翻译2
acceptance,acceptance例句测试1,acceptance例句测试翻译1,acceptance同义词测试1,acceptance同义词测试翻译1
acceptance,acceptance例句测试2,acceptance例句测试翻译2,acceptance同义词测试2,acceptance同义词测试翻译2
access,access例句测试1,access例句测试翻译1,access同义词测试1,access同义词测试翻译1
access,access例句测试2,access例句测试翻译2,access同义词测试2,access同义词测试翻译2
accessible,accessible例句测试1,accessible例句测试翻译1,accessible同义词测试1,accessible同义词测试翻译1
accessible,accessible例句测试2,accessible例句测试翻译2,accessible同义词测试2,accessible同义词测试翻译2
accessory,accessory例句测试1,accessory例句测试翻译1,accessory同义词测试1,accessory同义词测试翻译1
accessory,accessory例句测试2,accessory例句测试翻译2,accessory同义词测试2,accessory同义词测试翻译2
accident,accident例句测试1,accident例句测试翻译1,accident同义词测试1,accident同义词测试翻译1
accident,accident例句测试2,accident例句测试翻译2,accident同义词测试2,accident同义词测试翻译2
accidental,accidental例句测试1,accidental例句测试翻译1,accidental同义词测试1,accidental同义词测试翻译1
accidental,accidental例句测试2,accidental例句测试翻译2,accidental同义词测试2,accidental同义词测试翻译2
acclaim,acclaim例句测试1,acclaim例句测试翻译1,acclaim同义词测试1,acclaim同义词测试翻译1
acclaim,acclaim例句测试2,acclaim例句测试翻译2,acclaim同义词测试2,acclaim同义词测试翻译2
acclimate,acclimate例句测试1,acclimate例句测试翻译1,acclimate同义词测试1,acclimate同义词测试翻译1
acclimate,acclimate例句测试2,acclimate例句测试翻译2,acclimate同义词测试2,acclimate同义词测试翻译2
accolade,accolade例句测试1,accolade例句测试翻译1,accolade同义词测试1,accolade同义词测试翻译1
accolade,accolade例句测试2,accolade例句测试翻译2,accolade同义词测试2,accolade同义词测试翻译2
accommodate,accommodate例句测试1,accommodate例句测试翻译1,accommodate同义词测试1,accommodate同义词测试翻译1
accommodate,accommodate例句测试2,accommodate例句测试翻译2,accommodate同义词测试2,accommodate同义词测试翻译2
accommodating,accommodating例句测试1,accommodating例句测试翻译1,accommodating同义词测试1,accommodating同义词测试翻译1
accommodating,accommodating例句测试2,accommodating例句测试翻译2,accommodating同义词测试2,accommodating同义词测试翻译2
accommodation,accommodation例句测试1,accommodation例句测试翻译1,accommodation同义词测试1,accommodation同义词测试翻译1
accommodation,accommodation例句测试2,accommodation例句测试翻译2,accommodation同义词测试2,accommodation同义词测试翻译2
accompany,accompany例句测试1,accompany例句测试翻译1,accompany同义词测试1,accompany同义词测试翻译1
accompany,accompany例句测试2,accompany例句测试翻译2,accompany同义词测试2,accompany同义词测试翻译2
accomplice,accomplice例句测试1,accomplice例句测试翻译1,accomplice同义词测试1,accomplice同义词测试翻译1
accomplice,accomplice例句测试2,accomplice例句测试翻译2,accomplice同义词测试2,accomplice同义词测试翻译2
accomplish,accomplish例句测试1,accomplish例句测试翻译1,accomplish同义词测试1,accomplish同义词测试翻译1
accomplish,accomplish例句测试2,accomplish例句测试翻译2,accomplish同义词测试2,accomplish同义词测试翻译2
accomplished,accomplished例句测试1,accomplished例句测试翻译1,accomplished同义词测试1,accomplished同义词测试翻译1
accomplished,accomplished例句测试2,accomplished例句测试翻译2,accomplished同义词测试2,accomplished同义词测试翻译2
accomplishment,accomplishment例句测试1,accomplishment例句测试翻译1,accomplishment同义词测试1,accomplishment同义词测试翻译1
accomplishment,accomplishment例句测试2,accomplishment例句测试翻译2,accomplishment同义词测试2,accomplishment同义词测试翻译2
accord,accord例句测试1,accord例句测试翻译1,accord同义词测试1,accord同义词测试翻译1
accord,accord例句测试2,accord例句测试翻译2,accord同义词测试2,accord同义词测试翻译2
accordance,accordance例句测试1,accordance例句测试翻译1,accordance同义词测试1,accordance同义词测试翻译1
accordance,accordance例句测试2,accordance例句测试翻译2,accordance同义词测试2,accordance同义词测试翻译2
accordingly,accordingly例句测试1,accordingly例句测试翻译1,accordingly同义词测试1,accordingly同义词测试翻译1
accordingly,accordingly例句测试2,accordingly例句测试翻译2,accordingly同义词测试2,accordingly同义词测试翻译2
accost,accost例句测试1,accost例句测试翻译1,accost同义词测试1,accost同义词测试翻译1
accost,accost例句测试2,accost例句测试翻译2,accost同义词测试2,accost同义词测试翻译2
account,account例句测试1,account例句测试翻译1,account同义词测试1,account同义词测试翻译1
account,account例句测试2,account例句测试翻译2,account同义词测试2,account同义词测试翻译2
accountability,accountability例句测试1,accountability例句测试翻译1,accountability同义词测试1,accountability同义词测试翻译1
accountability,accountability例句测试2,accountability例句测试翻译2,accountability同义词测试2,accountability同义词测试翻译2
accountant,accountant例句测试1,accountant例句测试翻译1,accountant同义词测试1,accountant同义词测试翻译1
accountant,accountant例句测试2,accountant例句测试翻译2,accountant同义词测试2,accountant同义词测试翻译2
accrete,accrete例句测试1,accrete例句测试翻译1,accrete同义词测试1,accrete同义词测试翻译1
accrete,accrete例句测试2,accrete例句测试翻译2,accrete同义词测试2,accrete同义词测试翻译2
accretion,accretion例句测试1,accretion例句测试翻译1,accretion同义词测试1,accretion同义词测试翻译1
accretion,accretion例句测试2,accretion例句测试翻译2,accretion同义词测试2,accretion同义词测试翻译2
accrue,accrue例句测试1,accrue例句测试翻译1,accrue同义词测试1,accrue同义词测试翻译1
accrue,accrue例句测试2,accrue例句测试翻译2,accrue同义词测试2,accrue同义词测试翻译2
accumulate,accumulate例句测试1,accumulate例句测试翻译1,accumulate同义词测试1,accumulate同义词测试翻译1
accumulate,accumulate例句测试2,accumulate例句测试翻译2,accumulate同义词测试2,accumulate同义词测试翻译2
accuracy,accuracy例句测试1,accuracy例句测试翻译1,accuracy同义词测试1,accuracy同义词测试翻译1
accuracy,accuracy例句测试2,accuracy例句测试翻译2,accuracy同义词测试2,accuracy同义词测试翻译2
accurate,accurate例句测试1,accurate例句测试翻译1,accurate同义词测试1,accurate同义词测试翻译1
accurate,accurate例句测试2,accurate例句测试翻译2,accurate同义词测试2,accurate同义词测试翻译2
accusation,accusation例句测试1,accusation例句测试翻译1,accusation同义词测试1,accusation同义词测试翻译1
accusation,accusation例句测试2,accusation例句测试翻译2,accusation同义词测试2,accusation同义词测试翻译2
accuse,accuse例句测试1,accuse例句测试翻译1,accuse同义词测试1,accuse同义词测试翻译1
accuse,accuse例句测试2,accuse例句测试翻译2,accuse同义词测试2,accuse同义词测试翻译2
accustom,accustom例句测试1,accustom例句测试翻译1,accustom同义词测试1,accustom同义词测试翻译1
accustom,accustom例句测试2,accustom例句测试翻译2,accustom同义词测试2,accustom同义词测试翻译2
accustomed,accustomed例句测试1,accustomed例句测试翻译1,accustomed同义词测试1,accustomed同义词测试翻译1
accustomed,accustomed例句测试2,accustomed例句测试翻译2,accustomed同义词测试2,accustomed同义词测试翻译2
acerbic,acerbic例句测试1,acerbic例句测试翻译1,acerbic同义词测试1,acerbic同义词测试翻译1
acerbic,acerbic例句测试2,acerbic例句测试翻译2,acerbic同义词测试2,acerbic同义词测试翻译2
achieve,achieve例句测试1,achieve例句测试翻译1,achieve同义词测试1,achieve同义词测试翻译1
achieve,achieve例句测试2,achieve例句测试翻译2,achieve同义词测试2,achieve同义词测试翻译2
achievement,achievement例句测试1,achievement例句测试翻译1,achievement同义词测试1,achievement同义词测试翻译1
achievement,achievement例句测试2,achievement例句测试翻译2,achievement同义词测试2,achievement同义词测试翻译2
acid,acid例句测试1,acid例句测试翻译1,acid同义词测试1,acid同义词测试翻译1
acid,acid例句测试2,acid例句测试翻译2,acid同义词测试2,acid同义词测试翻译2
acknowledge,acknowledge例句测试1,acknowledge例句测试翻译1,acknowledge同义词测试1,acknowledge同义词测试翻译1
acknowledge,acknowledge例句测试2,acknowledge例句测试翻译2,acknowledge同义词测试2,acknowledge同义词测试翻译2
acme,acme例句测试1,acme例句测试翻译1,acme同义词测试1,acme同义词测试翻译1
acme,acme例句测试2,acme例句测试翻译2,acme同义词测试2,acme同义词测试翻译2
acolyte,acolyte例句测试1,acolyte例句测试翻译1,acolyte同义词测试1,acolyte同义词测试翻译1
acolyte,acolyte例句测试2,acolyte例句测试翻译2,acolyte同义词测试2,acolyte同义词测试翻译2
acorn,acorn例句测试1,acorn例句测试翻译1,acorn同义词测试1,acorn同义词测试翻译1
acorn,acorn例句测试2,acorn例句测试翻译2,acorn同义词测试2,acorn同义词测试翻译2
acoustic,acoustic例句测试1,acoustic例句测试翻译1,acoustic同义词测试1,acoustic同义词测试翻译1
acoustic,acoustic例句测试2,acoustic例句测试翻译2,acoustic同义词测试2,acoustic同义词测试翻译2
acquaint,acquaint例句测试1,acquaint例句测试翻译1,acquaint同义词测试1,acquaint同义词测试翻译1
acquaint,acquaint例句测试2,acquaint例句测试翻译2,acquaint同义词测试2,acquaint同义词测试翻译2
acquaintance,acquaintance例句测试1,acquaintance例句测试翻译1,acquaintance同义词测试1,acquaintance同义词测试翻译1
acquaintance,acquaintance例句测试2,acquaintance例句测试翻译2,acquaintance同义词测试2,acquaintance同义词测试翻译2
acquainted,acquainted例句测试1,acquainted例句测试翻译1,acquainted同义词测试1,acquainted同义词测试翻译1
acquainted,acquainted例句测试2,acquainted例句测试翻译2,acquainted同义词测试2,acquainted同义词测试翻译2
acquiesce,acquiesce例句测试1,acquiesce例句测试翻译1,acquiesce同义词测试1,acquiesce同义词测试翻译1
acquiesce,acquiesce例句测试2,acquiesce例句测试翻译2,acquiesce同义词测试2,acquiesce同义词测试翻译2
acquire,acquire例句测试1,acquire例句测试翻译1,acquire同义词测试1,acquire同义词测试翻译1
acquire,acquire例句测试2,acquire例句测试翻译2,acquire同义词测试2,acquire同义词测试翻译2
acquired,acquired例句测试1,acquired例句测试翻译1,acquired同义词测试1,acquired同义词测试翻译1
acquired,acquired例句测试2,acquired例句测试翻译2,acquired同义词测试2,acquired同义词测试翻译2
acquisition,acquisition例句测试1,acquisition例句测试翻译1,acquisition同义词测试1,acquisition同义词测试翻译1
acquisition,acquisition例句测试2,acquisition例句测试翻译2,acquisition同义词测试2,acquisition同义词测试翻译2
acquisitive,acquisitive例句测试1,acquisitive例句测试翻译1,acquisitive同义词测试1,acquisitive同义词测试翻译1
acquisitive,acquisitive例句测试2,acquisitive例句测试翻译2,acquisitive同义词测试2,acquisitive同义词测试翻译2
acquit,acquit例句测试1,acquit例句测试翻译1,acquit同义词测试1,acquit同义词测试翻译1
acquit,acquit例句测试2,acquit例句测试翻译2,acquit同义词测试2,acquit同义词测试翻译2
acquittal,acquittal例句测试1,acquittal例句测试翻译1,acquittal同义词测试1,acquittal同义词测试翻译1
acquittal,acquittal例句测试2,acquittal例句测试翻译2,acquittal同义词测试2,acquittal同义词测试翻译2
acre,acre例句测试1,acre例句测试翻译1,acre同义词测试1,acre同义词测试翻译1
acre,acre例句测试2,acre例句测试翻译2,acre同义词测试2,acre同义词测试翻译2
acrid,acrid例句测试1,acrid例句测试翻译1,acrid同义词测试1,acrid同义词测试翻译1
acrid,acrid例句测试2,acrid例句测试翻译2,acrid同义词测试2,acrid同义词测试翻译2
acrimonious,acrimonious例句测试1,acrimonious例句测试翻译1,acrimonious同义词测试1,acrimonious同义词测试翻译1
acrimonious,acrimonious例句测试2,acrimonious例句测试翻译2,acrimonious同义词测试2,acrimonious同义词测试翻译2
acrimony,acrimony例句测试1,acrimony例句测试翻译1,acrimony同义词测试1,acrimony同义词测试翻译1
acrimony,acrimony例句测试2,acrimony例句测试翻译2,acrimony同义词测试2,acrimony同义词测试翻译2
acrobat,acrobat例句测试1,acrobat例句测试翻译1,acrobat同义词测试1,acrobat同义词测试翻译1
acrobat,acrobat例句测试2,acrobat例句测试翻译2,acrobat同义词测试2,acrobat同义词测试翻译2
acrophobia,acrophobia例句测试1,acrophobia例句测试翻译1,acrophobia同义词测试1,acrophobia同义词测试翻译1
acrophobia,acrophobia例句测试2,acrophobia例句测试翻译2,acrophobia同义词测试2,acrophobia同义词测试翻译2
acting,acting例句测试1,acting例句测试翻译1,acting同义词测试1,acting同义词测试翻译1
acting,acting例句测试2,acting例句测试翻译2,acting同义词测试2,acting同义词测试翻译2
action,action例句测试1,action例句测试翻译1,action同义词测试1,action同义词测试翻译1
action,action例句测试2,action例句测试翻译2,action同义词测试2,action同义词测试翻译2
active,active例句测试1,active例句测试翻译1,active同义词测试1,active同义词测试翻译1
active,active例句测试2,active例句测试翻译2,active同义词测试2,active同义词测试翻译2
activity,activity例句测试1,activity例句测试翻译1,activity同义词测试1,activity同义词测试翻译1
activity,activity例句测试2,activity例句测试翻译2,activity同义词测试2,activity同义词测试翻译2
actual,actual例句测试1,actual例句测试翻译1,actual同义词测试1,actual同义词测试翻译1
actual,actual例句测试2,actual例句测试翻译2,actual同义词测试2,actual同义词测试翻译2
actually,actually例句测试1,actually例句测试翻译1,actually同义词测试1,actually同义词测试翻译1
actually,actually例句测试2,actually例句测试翻译2,actually同义词测试2,actually同义词测试翻译2
acuity,acuity例句测试1,acuity例句测试翻译1,acuity同义词测试1,acuity同义词测试翻译1
acuity,acuity例句测试2,acuity例句测试翻译2,acuity同义词测试2,acuity同义词测试翻译2
acumen,acumen例句测试1,acumen例句测试翻译1,acumen同义词测试1,acumen同义词测试翻译1
acumen,acumen例句测试2,acumen例句测试翻译2,acumen同义词测试2,acumen同义词测试翻译2
acute,acute例句测试1,acute例句测试翻译1,acute同义词测试1,acute同义词测试翻译1
acute,acute例句测试2,acute例句测试翻译2,acute同义词测试2,acute同义词测试翻译2
ad,ad例句测试1,ad例句测试翻译1,ad同义词测试1,ad同义词测试翻译1
ad,ad例句测试2,ad例句测试翻译2,ad同义词测试2,ad同义词测试翻译2
adage,adage例句测试1,adage例句测试翻译1,adage同义词测试1,adage同义词测试翻译1
adage,adage例句测试2,adage例句测试翻译2,adage同义词测试2,adage同义词测试翻译2
adamant,adamant例句测试1,adamant例句测试翻译1,adamant同义词测试1,adamant同义词测试翻译1
adamant,adamant例句测试2,adamant例句测试翻译2,adamant同义词测试2,adamant同义词测试翻译2
adapt,adapt例句测试1,adapt例句测试翻译1,adapt同义词测试1,adapt同义词测试翻译1
adapt,adapt例句测试2,adapt例句测试翻译2,adapt同义词测试2,adapt同义词测试翻译2
adaptable,adaptable例句测试1,adaptable例句测试翻译1,adaptable同义词测试1,adaptable同义词测试翻译1
